trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,gross_buying_pct,gross_selling_pct,net_buying_pct,net_buying_dollars,tickers_bought,tickers_sold,tickers_new,tickers_exited,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,ticker,company,theme,initial_weight_pct,became_active_add
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-08-14,2024-06-30,,,,,,,,,,,,,,,,,,AI/Datacenter Infrastructure,,,,,,0.00,4.13,4.13,HPE,HPE,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-08-14,2024-06-30,,,,,,,,,,,,,,,,,,AI/EV,,,,,,0.81,4.54,3.73,TSLA,TSLA,,,,,
NEW_AI_POSITION_2PCT,2024-08-14,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPE,HEWLETT PACKARD ENTERPRISE C,AI/Datacenter Infrastructure,4.13,FALSE
NEW_AI_SUBTHEME,2024-08-14,2024-06-30,,,,,,,,,,,,,,,,,,Semiconductor Supply Chain,AMKR,0.28,0.28,FALSE,,,,,,,,,,,
AI_BASKET_RAMP,2024-11-14,2024-09-30,35.39,33.99,-1.40,100.00,6,NTNX,"ALAB, AMD, LITE","AMKR, HPE, MRVL, P","ALAB:12.68, AMD:11.44, CIEN:4.62, LITE:3.62, MU:1.35",14.53,4.05,10.48,310299586,"ALAB +$230M, AMD +$168M, LITE +$24M","CIEN -$85M, MU -$35M",NTNX,"MRVL, HPE, P, AMKR",,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,AI/Data Infrastructure,,,,,,0.00,6.24,6.24,"MDB, SNOW","MDB, SNOW",,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,AI/World Models,,,,,,0.00,2.70,2.70,U,U,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,AI/Data Infrastructure,,,,,,0.00,6.24,6.24,"MDB, SNOW","MDB, SNOW",,,,,
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,MICROSOFT CORP,AI/Hyperscaler,4.22,TRUE
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNOW,SNOWFLAKE INC,AI/Data Infrastructure,3.67,FALSE
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVGO,BROADCOM INC,AI/Datacenter Chips,3.29,FALSE
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,UNITY SOFTWARE INC,AI/World Models,2.70,TRUE
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDB,MONGODB INC,AI/Data Infrastructure,2.57,FALSE
NEW_AI_SUBTHEME,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,,,AI/World Models,U,2.70,2.70,TRUE,U,,,,,,,,,,
AI_BASKET_RAMP,2025-05-15,2025-03-31,34.78,45.31,10.53,100.00,10,"CRWV, NVDA, SNPS","ALAB, MU, U","AVGO, CIEN, LRCX, LSCC, NTNX","ALAB:10.09, AMD:7.85, U:6.72, NVDA:4.28, LITE:4.25",22.28,1.85,20.43,561990623,"ALAB +$168M, U +$110M, MU +$56M, AMD +$19M, LITE +$7M","MDB -$29M, SNOW -$22M","NVDA, CRWV, SNPS","AVGO, LSCC, NTNX, LRCX, CIEN",,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Compute,,,,,,0.00,2.53,2.53,CRWV,CRWV,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,0.64,2.81,2.17,MU,MU,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,Semiconductor Supply Chain,,,,,,0.20,2.38,2.17,SNPS,SNPS,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,AI/World Models,,,,,,2.70,6.72,4.02,U,U,,,,,
NEW_AI_POSITION_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,META,META PLATFORMS INC,AI/Hyperscaler,5.02,FALSE
NEW_AI_POSITION_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,NVIDIA CORPORATION,AI/Datacenter Chips,4.28,TRUE
NEW_AI_POSITION_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRWV,COREWEAVE INC,AI/Datacenter Compute,2.53,TRUE
NEW_AI_POSITION_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNPS,SYNOPSYS INC,Semiconductor Supply Chain,2.38,FALSE
NEW_AI_SUBTHEME,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Compute,CRWV,2.53,2.53,FALSE,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-08-14,2025-06-30,,,,,,,,,,,,,,,,,,AI/Datacenter Storage,,,,,,0.00,5.68,5.68,P,P,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-08-14,2025-06-30,,,,,,,,,,,,,,,,,,AI/EV,,,,,,1.84,2.84,1.00,TSLA,TSLA,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2025-08-14,2025-06-30,,,,,,,,,,,,,,,,,,AI/Datacenter Storage,,,,,,0.00,5.68,5.68,P,P,,,,,
NEW_AI_POSITION_2PCT,2025-08-14,2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,PURE STORAGE INC,AI/Datacenter Storage,5.68,TRUE
NEW_AI_POSITION_2PCT,2025-08-14,2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEN,CIENA CORP,AI/Datacenter Optical,2.85,TRUE
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-11-14,2025-09-30,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,0.24,3.15,2.91,MU,MU,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2025-11-14,2025-09-30,,,,,,,,,,,,,,,,,,Semiconductor Manufacturing,,,,,,0.00,2.28,2.28,INTC,INTC,,,,,
NEW_AI_POSITION_2PCT,2025-11-14,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COHR,COHERENT CORP,AI/Datacenter Optical,2.56,TRUE
NEW_AI_POSITION_2PCT,2025-11-14,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTC,INTEL CORP,Semiconductor Manufacturing,2.28,FALSE
AI_BASKET_RAMP,2026-02-17,2025-12-31,41.48,50.21,8.73,100.00,14,,"ALAB, COHR, NVDA","AMD, SNPS","NVDA:7.62, CIEN:7.09, U:6.21, P:5.94, ALAB:5.69",13.79,3.81,9.98,470327590,"ALAB +$258M, NVDA +$252M, COHR +$59M, CRWV +$39M, U +$23M, CIEN +$6M, P +$5M, MU +$4M, SNOW +$2M, SMTC +$1M, AMBQ +$0M, ROG +$0M","LITE -$101M, INTC -$78M",,"AMD, SNPS",,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2026-02-17,2025-12-31,,,,,,,,,,,,,,,,,,AI/Datacenter Networking,,,,,,0.32,5.69,5.37,ALAB,ALAB,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2026-02-17,2025-12-31,,,,,,,,,,,,,,,,,,AI/Datacenter Networking,,,,,,0.32,5.69,5.37,ALAB,ALAB,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2026-05-18,2026-03-31,,,,,,,,,,,,,,,,,,AI/Edge Computing,,,,,,1.50,3.46,1.96,AKAM,"AKAM, AMBQ, SMTC",,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2026-05-18,2026-03-31,,,,,,,,,,,,,,,,,,Semiconductor Supply Chain,,,,,,0.33,2.00,1.67,"SNPS, VECO","ROG, SNPS, VECO",,,,,
NEW_AI_SUBTHEME,2026-05-18,2026-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Power,VST,1.92,1.92,FALSE,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2026-08-14,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBRS,CEREBRAS SYSTEMS INC,AI/Datacenter Chips,10.61,FALSE
NEW_AI_POSITION_2PCT,2026-08-14,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,META,META PLATFORMS INC,AI/Hyperscaler,3.50,FALSE
