trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,2,MRVL,MARVELL TECHNOLOGY INC,AI/Datacenter Chips,6.77,FALSE,-8.99,6.77,2024-11-14,-8.99
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,9,ALAB,ASTERA LABS INC,AI/Datacenter Networking,4.49,TRUE,-49.81,9.56,CURRENT,178.46
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,9,MU,MICRON TECHNOLOGY INC,AI/Datacenter Memory,4.12,TRUE,-21.37,5.14,CURRENT,436.99
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,9,GOOGL,ALPHABET INC,AI/Hyperscaler,3.07,TRUE,-6.93,4.65,CURRENT,132.00
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,1,MDB,MONGODB INC,AI/Data Infrastructure,2.40,FALSE,-35.34,2.40,2024-08-14,0.00
NEW_AI_SUBTHEME,2024-05-15,2024-03-31,,,,,,,,,,AI/Datacenter Networking,ALAB,4.49,4.49,TRUE,ALAB,9,,,,,,,,,
NEW_AI_SUBTHEME,2024-05-15,2024-03-31,,,,,,,,,,AI/Data Infrastructure,MDB,2.40,2.40,FALSE,,7,,,,,,,,,
AI_BASKET_RAMP,2024-08-14,2024-06-30,38.79,49.45,10.67,100.00,13,"AMKR, HPE, META","CIEN, TSLA","MDB, MSFT","MRVL:5.78, CIEN:5.65, AMD:5.51, ALAB:5.49, AMZN:4.95",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2024-08-14,2024-06-30,,,,,,,,,,,,,,,,1,HPE,HEWLETT PACKARD ENTERPRISE C,AI/Datacenter Infrastructure,4.13,FALSE,20.88,4.13,2024-11-14,0.00
NEW_AI_SUBTHEME,2024-08-14,2024-06-30,,,,,,,,,,Semiconductor Supply Chain,AMKR,0.28,0.28,FALSE,,7,,,,,,,,,
