trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,fwd_1q_return,fwd_2q_return,fwd_3q_return,fwd_4q_return,smh_fwd_1q,smh_fwd_2q,smh_fwd_3q,smh_fwd_4q,excess_fwd_1q,excess_fwd_2q,excess_fwd_3q,excess_fwd_4q
AI_BASKET_RAMP,2022-08-15,2022-06-30,20.15,27.75,7.60,89.81,5,"META, ORCL","AMZN, TSLA",MU,"AMZN:11.66, META:8.74, ORCL:3.42, TSLA:2.73, GOOGL:1.20",,,,,,,,,,,,,,,,,,,,,,-11.27,3.81,3.50,23.64,-11.27,3.81,3.50,23.64,0.00,0.00,0.00,0.00
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-08-15,2022-06-30,,,,,,,,,,AI/EV,,,,,,,,,,,,,,,,1.67,2.73,1.05,TSLA,TSLA,-38.27,-32.36,-46.22,-22.49,-11.27,3.81,3.50,23.64,-27.00,-36.17,-49.72,-46.13
NEW_AI_POSITION_2PCT,2022-08-15,2022-06-30,,,,,,,,,,,,,,,,4,META,META PLATFORMS INC,AI/Hyperscaler,8.74,TRUE,-36.86,8.74,2023-08-14,32.05,,,,,,-36.86,-0.78,32.04,69.26,-11.27,3.81,3.50,23.64,-25.59,-4.59,28.54,45.62
NEW_AI_POSITION_2PCT,2022-08-15,2022-06-30,,,,,,,,,,,,,,,,1,ORCL,ORACLE CORP,AI/Hyperscaler,3.42,FALSE,-0.23,3.42,2022-11-14,0.00,,,,,,-0.23,13.61,24.56,48.53,-11.27,3.81,3.50,23.64,11.04,9.80,21.06,24.89
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-11-14,2022-09-30,,,,,,,,,,AI/Datacenter Chips,,,,,,,,,,,,,,,,0.00,7.20,7.20,"AMD, MRVL","AMD, MRVL",13.23,15.12,45.44,47.92,17.00,16.65,39.35,48.99,-3.77,-1.53,6.09,-1.07
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-11-14,2022-09-30,,,,,,,,,,AI/Datacenter Storage,,,,,,,,,,,,,,,,0.00,2.41,2.41,P,P,0.80,-23.98,17.93,21.85,17.00,16.65,39.35,48.99,-16.20,-40.63,-21.42,-27.14
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2022-11-14,2022-09-30,,,,,,,,,,AI/Datacenter Chips,,,,,,,,,,,,,,,,0.00,7.20,7.20,"AMD, MRVL","AMD, MRVL",13.23,15.12,45.44,47.92,17.00,16.65,39.35,48.99,-3.77,-1.53,6.09,-1.07
NEW_AI_POSITION_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,13,AMD,ADVANCED MICRO DEVICES INC,AI/Datacenter Chips,5.54,TRUE,16.89,11.61,2026-02-17,235.66,,,,,,16.89,32.46,52.29,63.03,17.00,16.65,39.35,48.99,-0.11,15.81,12.94,14.04
NEW_AI_POSITION_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,8,P,PURE STORAGE INC,AI/Datacenter Storage,2.41,TRUE,0.80,9.07,2024-11-14,94.08,,,,,,0.80,-23.98,17.93,21.85,17.00,16.65,39.35,48.99,-16.20,-40.63,-21.42,-27.14
NEW_AI_SUBTHEME,2022-11-14,2022-09-30,,,,,,,,,,AI/Datacenter Storage,P,2.41,2.41,TRUE,P,11,,,,,,,,,,,,,,,0.80,-23.98,17.93,21.85,17.00,16.65,39.35,48.99,-16.20,-40.63,-21.42,-27.14
AI_BASKET_RAMP,2023-02-14,2022-12-31,22.50,32.72,10.22,100.00,7,NVDA,"META, MRVL, P, TSLA",,"AMD:9.29, META:6.26, MRVL:6.19, P:3.98, TSLA:3.27",,,,,,,,,,,,,,,,,,,,,,-0.30,19.10,27.34,61.68,-0.30,19.10,27.34,61.68,0.00,0.00,0.00,0.00
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2023-02-14,2022-12-31,,,,,,,,,,AI/EV,,,,,,,,,,,,,,,,1.25,3.27,2.02,TSLA,TSLA,-20.50,14.58,13.46,-9.81,-0.30,19.10,27.34,61.68,-20.20,-4.52,-13.88,-71.49
NEW_AI_POSITION_2PCT,2023-02-14,2022-12-31,,,,,,,,,,,,,,,,1,NVDA,NVIDIA CORPORATION,AI/Datacenter Chips,2.14,FALSE,26.06,2.14,2023-05-15,0.00,,,,,,26.06,90.51,116.23,221.84,-0.30,19.10,27.34,61.68,26.36,71.41,88.89,160.16
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2023-05-15,2023-03-31,,,,,,,,,,AI/Datacenter Storage,,,,,,,,,,,,,,,,3.98,5.67,1.69,P,P,55.12,60.29,79.63,152.28,19.46,27.73,62.16,86.57,35.66,32.56,17.47,65.71
NEW_AI_SUBTHEME,2023-08-14,2023-06-30,,,,,,,,,,AI/Datacenter Infrastructure,HPE,1.34,1.34,FALSE,,4,,,,,,,,,,,,,,,-6.04,-12.17,4.39,3.91,6.92,35.75,56.18,57.83,-12.96,-47.92,-51.79,-53.92
